LGA,Venue Count,Avg Frequency,Total Capacity,Avg Capacity,LGA Name,Total Revenue (AUD),Population,Venues Per 10k Population,Total Capacity Per Population,Revenue Per Capita,Frequency Weighted Venue Density,Gig Density Score
Pyrenees Shire Council,11,0.8545454545454546,1318.0,119.81818181818181,Pyrenees Shire Council,27700000,7786,14.127921911122527,0.1692781916259954,3557.6676085281274,12.072951451322886,12.072951451322888
Queenscliffe Borough Council,9,1.0555555555555556,830.0,92.22222222222223,Queenscliffe Borough Council,20200000,3238,27.794935145151328,0.25633106856084004,6238.418777022854,29.33909820877085,29.339098208770846
South Gippsland Shire Council,23,0.8347826086956521,3581.0,155.69565217391303,South Gippsland Shire Council,89700000,30823,7.461960224507672,0.11617947636505208,2910.1644875579923,6.2291146221977085,6.2291146221977085
Southern Grampians Shire Council,16,0.63125,2771.0,173.1875,Southern Grampians Shire Council,48900000,16470,9.714632665452339,0.16824529447480266,2969.034608378871,6.132361870066788,6.132361870066789
Stonnington City Council,82,3.381707317073171,19956.0,243.3658536585366,Stonnington City Council,196600000,111335,7.36515920420353,0.179242825706202,1765.841828715139,24.906812772263887,24.90681277226389
Strathbogie Shire Council,12,0.20833333333333334,2235.0,186.25,Strathbogie Shire Council,36400000,11578,10.364484366902746,0.19303852133356367,3143.893591293833,2.159267576438072,2.159267576438072
Surf Coast Shire Council,28,2.0535714285714284,11173.0,399.0357142857143,Surf Coast Shire Council,102800000,39292,7.126132546065357,0.2843581390613865,2616.308663341138,14.634022192812784,14.634022192812784
Swan Hill Rural City Council,10,1.5000000000000002,3568.0,356.8,Swan Hill Rural City Council,65200000,21212,4.714312653215162,0.16820667546671694,3073.731849896285,7.071468979822742,7.071468979822743
Towong Shire Council,9,2.466666666666667,1736.0,192.88888888888889,Towong Shire Council,32000000,6243,14.416146083613647,0.27807144001281436,5125.740829729297,35.559827006247005,35.559827006247
Wangaratta Rural City Council,5,3.2,453.0,90.6,Wangaratta Rural City Council,84700000,30002,1.6665555629624693,0.015098993400439971,2823.1451236584226,5.332977801479901,5.3329778014799025
Warrnambool City Council,16,2.725,5996.0,374.75,Warrnambool City Council,93300000,35907,4.45595566324115,0.16698693847996213,2598.379146127496,12.142479182332135,12.142479182332135
Wellington Shire Council,30,1.3533333333333333,6087.0,202.9,Wellington Shire Council,123700000,46124,6.504206053247767,0.1319703408203972,2681.900962622496,8.802358858728645,8.802358858728644
West Wimmera Shire Council,3,0.39999999999999997,618.0,206.0,West Wimmera Shire Council,26700000,3933,7.627765064836003,0.15713196033562166,6788.710907704043,3.051106025934401,3.051106025934401
Whitehorse City Council,14,1.1357142857142857,8372.0,598.0,Whitehorse City Council,211400000,178639,0.7837034466158006,0.046865466107624876,1183.392204389859,0.8900632000850877,0.8900632000850878
Whittlesea City Council,11,2.036363636363636,6956.0,632.3636363636364,Whittlesea City Council,353600000,245029,0.448926453603451,0.028388476466050958,1443.0944908561844,0.9141775055197547,0.9141775055197547
Wodonga City Council,10,3.13,3780.0,378.0,Wodonga City Council,87300000,44276,2.2585599421808658,0.08537356581443671,1971.7228295238956,7.0692926190261085,7.069292619026109
Wyndham City Council,23,1.7695652173913046,8796.0,382.4347826086956,Wyndham City Council,248400000,324087,0.7096859793820796,0.027140860324542482,766.4608577326459,1.2558356243848103,1.2558356243848106
Yarra City Council,141,3.9553191489361703,32841.0,232.91489361702128,Yarra City Council,202600000,97448,14.469255397750594,0.33701050816845907,2079.057548641327,57.230522945570975,57.23052294557097
Yarra Ranges Shire Council,70,1.6600000000000001,25151.0,359.3,Yarra Ranges Shire Council,248400000,158694,4.411004826899568,0.15848740343050147,1565.2765700026466,7.322268012653284,7.322268012653283
Yarriambiack Shire Council,8,1.3,1062.0,132.75,Yarriambiack Shire Council,33000000,6389,12.521521364845828,0.16622319611832836,5165.127562998904,16.277977774299575,16.277977774299575
